date,ticker,actual_inflow_usd
2026-05-12,BHYP,
2026-05-12,THYP,1200000.0
2026-05-13,BHYP,
2026-05-13,THYP,1400000.0
2026-05-14,BHYP,700000.0
2026-05-14,THYP,4900000.0
2026-05-15,BHYP,1300000.0
2026-05-15,THYP,3100000.0
2026-05-18,BHYP,2000000.0
2026-05-18,THYP,2400000.0
2026-05-19,BHYP,5700000.0
2026-05-19,THYP,5300000.0
2026-05-20,BHYP,8800000.0
2026-05-20,THYP,16700000.0
2026-05-21,BHYP,8400000.0
2026-05-21,THYP,7700000.0
2026-05-22,BHYP,11000000.0
2026-05-22,THYP,0.0
2026-05-26,BHYP,
2026-05-26,THYP,
